122,1493,101,11553,2985,11298,6914,12273,12124,8299,9051
123,10137,8068,8697,9485,9916,4201,3829,12209,3225,1025
124,4254,5122,6507,6213,1858,6354,3349,5817,10476,7550
125,1455,3167,3987,6516,4206,10982,10060,3175,9403,7150
126,5189,4562,8564,3041,3874,8690,9403,3820,9191,790
127,1317,10600,2642,2199,8927,2062,12114,2727,4160,12178
128,8595,687,4855,4908,10577,12258,2874,8291,9504,189
129,8177,10260,11511,5817,11091,6659,978,6478,10116,11674
130,3187,5510,1246,5129,12188,2171,3540,10724,6443,3160
131,9315,1772,10693,5941,4360,10708,3730,6599,7366,8059
132,4453,2438,11399,10797,2007,2642,2139,11246,5400,11844
133,5918,7438,562,2680,3769,3128,5927,4393,5945,8357
134,4169,878,11395,5894,3438,2052,10414,5588,11957,3549
135,7647,9855,12317,2627,9957,8807,2311,9786,11481,2686
136,5159,6959,6101,6320,7378,6507,1208,3546,5602,6725
137,8278,1401,5896,12139,11829,10492,2434,10999,11076,6050
138,7982,11270,2168,4493,11810,9340,12159,5091,1177,1530
139,9011,12112,11917,6316,12156,6659,1284,8757,8286,8965
140,18,1308,6789,1092,7150,11012,11459,11253,5865,2877
141,8798,10413,10980,196,10027,7221,817,8256,8930,9555
142,2183,4362,2524,3678,3813,10337,4075,3549,7285,4391
143,2089,11339,8234,2740,988,7457,2732,748,853,9123
144,7438,10415,9572,9415,6739,8191,11177,3390,7975,11139
145,10802,12270,10142,4106,933,1422,11006,9975,202,10538
146,12279,5918,9315,3778,8471,11122,6793,5773,4257,11733
147,2052,4042,421,606,7731,9695,11837,11140,11736,2044
148,6739,7551,1573,1636,10980,2496,289,10020,11350,11745
149,556,2376,2437,9238,10325,5346,9588,1951,3800,3343
150,7206,8544,12257,12131,2351,7329,12299,8333,1075,6834
151,567,1317,3351,3438,2,3899,1580,9593,1760,551
152,6488,1239,7425,9948,2112,7624,1769,6383,12011,11432
153,4015,2254,11899,7173,7966,7367,8613,181,6366,3142
154,5174,3132,8254,5865,4503,6492,9314,1854,11499,5761
155,4598,6751,3670,1804,1927,11504,7033,11951,8348,3782
156,11385,4139,7001,8991,3464,9067,3391,12210,248,6412
157,4455,7069,5865,3907,11090,5621,4709,2488,6516,3251
158,10953,9778,3405,4843,4667,10480,4374,1481,2353,11118
159,5918,4559,2886,9458,3933,10614,2601,3821,1012,7731
160,3965,6998,6350,3907,2949,2581,4380,11476,5948,11287
161,3920,3465,4727,11850,8045,1060,3733,4121,5590,6596
162,4384,553,4772,6149,3299,7303,10724,12254,4501,4681
163,1235,7829,8019,8734,1679,6285,11141,7452,2740,2554
164,4393,1493,6742,6985,404,572,2203,3612,5345,3667
165,6751,4589,8143,536,8061,9981,3478,1530,1120,3111
166,483,7249,5847,3212,9502,10792,3015,1088,3028,5979
167,9341,3132,10802,9919,10429,9820,1075,5523,4826,3670
168,692,880,2732,7001,9925,5267,11018,10724,9196,6317
169,9012,1551,2564,9341,5037,847,6013,4895,10334,4889
170,1728,6548,2509,8192,12282,11379,2199,10459,2003,1281
171,553,1151,9023,6320,5125,1318,1032,10312,5455,1726
172,2700,11253,2949,10921,10085,68,8564,11931,832,5201
173,9315,11978,7829,263,1675,7841,9527,10256,8377,2745
174,9993,2642,8958,6275,6952,1177,2833,4419,1824,241
175,3031,11698,6075,1675,12114,10137,9820,3442,9867,856
176,8710,379,7908,3464,2843,9155,5678,5286,10067,565
177,11135,8061,6555,8076,265,10049,8234,4125,11090,9288
178,9259,5778,6140,3488,9664,4438,4676,3006,10750,5947
179,2052,6959,4517,3156,5104,6425,9801,704,677,9770
180,8105,9869,197,4160,338,44,4629,12118,1127,7685
181,1858,7206,9613,11055,9527,9403,5205,2123,10361,10317
182,10318,1858,4807,11899,8236,1968,8789,1798,10339,11376
183,11727,11898,5147,978,9855,11240,4429,3405,8414,7646
184,2601,12112,10991,1856,2489,3241,5596,1191,874,10231
185,6874,4787,10339,10343,1824,12053,8597,1221,4567,5020
186,2700,9759,1927,2242,6037,11018,1404,11775,6311,1210
187,9259,3965,3587,11892,9688,9345,5563,2153,6455,4331
188,5778,8431,5895,4423,11397,1584,12059,8168,9466,829
189,8846,1083,4972,8327,10137,5229,7052,10430,1258,5500
190,1792,3473,3493,11775,1054,2788,11479,6954,6863,2233
191,9613,847,10797,4598,6549,6255,4151,323,1619,9175
192,10797,8561,5346,7896,1145,6101,8483,2992,5883,3339
193,1147,3034,12254,6611,4298,4423,3225,798,6644,10628
194,6965,929,11899,10877,1746,1133,6218,4421,6315,11161
195,9613,533,4122,12304,8692,1135,4823,476,12319,5074
196,8020,3678,5039,1260,769,7380,277,8634,6712,500
197,11091,8929,12131,865,8045,257,8595,4914,2,9726
198,2997,1654,10325,10459,4450,850,7259,694,4366,2205
199,7172,2893,1455,6200,1552,11880,8209,169,7438,9348
200,12059,4450,7997,8736,1858,2675,9345,1345,10402,5355
201,1352,3252,11236,10061,3733,10052,1381,9290,11907,3472
202,2601,3582,11376,3176,7057,7997,1217,9397,1462,3475
203,8651,6140,2139,5856,7896,2931,1823,10152,3456,3747
204,8729,7303,9919,884,8535,2516,7009,11226,7057,4966
205,7357,1728,1163,5633,10702,8860,7571,7654,12018,2055
206,10919,8131,939,2777,5137,10015,2750,6440,4091,5597
207,2233,11982,2680,7793,9341,679,6863,1088,4535,12318
208,7982,7867,10415,1320,7927,6908,3483,5153,10437,3288
209,2700,3678,4010,4201,8571,8019,11531,5033,6875,8623
210,553,4848,8996,11241,7883,5654,9984,5848,7172,7830
211,3142,10439,7997,4517,2254,12200,6296,3442,10955,11290
212,8278,5778,5999,1026,2139,8655,10141,4302,3363,11829
213,8254,443,1318,1021,5464,10137,6771,5156,5488,7815
214,4450,11929,10727,1530,8422,6009,6725,3546,12318,2015
215,939,2753,694,8646,1270,8927,1139,3483,9483,12188
