58,8119,5845,2925,8660,8786,8429,2242,9450,8111,10408
59,11754,10410,8791,8268,4048,10866,5887,10052,11600,7857
60,2241,1752,9270,487,168,8032,11314,9526,5606,1684
61,31,600,7147,8919,1359,3013,4695,42,11744,3206
62,9314,9083,4917,3375,2249,7251,9671,5448,8641,9868
63,11739,8231,11440,11728,4057,6075,8402,11920,2635,2323
64,5276,9314,4843,9838,11920,221,7225,4570,6928,595
65,5873,7295,1301,6747,8959,8005,5676,5297,3673,2326
66,7767,5070,2245,6242,10606,7242,7733,9940,8930,6274
67,7662,6820,7504,1279,90,4337,8807,4665,9798,10398
68,752,5145,5281,7590,9788,5397,7225,6928,1527,10413
69,7356,221,8189,6659,3059,395,9999,9789,7481,915
70,1204,6972,9172,10264,9690,960,1431,809,7139,6899
71,7269,270,14,1249,4081,5338,9133,7466,7367,10803
72,543,13259,5872,11762,2925,10482,8629,11783,4046,3096
73,1683,6044,12084,1762,6719,3141,9313,1706,9235,12254
74,1442,570,9189,7454,5503,2146,11977,9914,2794,9653
75,8821,10164,212,9134,5914,9276,3310,5651,7726,9104
76,9314,3845,4331,7591,7660,12152,5010,5356,1925,3371
77,7278,8016,12017,5338,144,8034,8450,8227,1490,9695
78,12092,5845,7758,6243,879,10260,8582,3723,12085,9313
79,507,10350,10042,7348,653,386,3535,8196,8030,9237
80,2823,1031,6183,9468,2520,8230,3112,10394,11253,10171
81,6813,4784,5178,7529,7353,5821,6827,1209,385,116
82,9784,7280,9271,6242,1637,5260,9561,9453,10782,2893
83,10836,4331,9689,6668,10598,3719,3607,8641,4374,9730
84,7464,6044,9309,3021,10195,5578,978,5861,6027,9927
85,5813,1328,1175,12010,10873,10894,5932,6719,724,588
86,5036,871,518,6259,1910,9009,9696,5451,10262,3070
87,5835,1079,3057,12111,5105,12025,8758,5565,7485,1025
88,4514,10227,304,1102,221,11762,9790,8990,11030,3963
89,1031,7650,11738,9088,1757,10607,4656,9671,8629,8848
90,707,6980,6034,10804,10267,9515,6899,279,3941,1838
91,9907,5469,2298,5466,2304,337,1028,8660,3375,7359
92,7273,7502,9907,5117,7889,1733,1245,7708,2176,9317
93,12133,3581,3365,3137,9189,4941,1637,3723,5017,4148
94,9314,1255,12118,10794,7279,1590,8459,6243,9319,4816
95,6965,6012,2380,1283,6982,7485,8394,5270,8185,3318
96,579,9139,1200,5106,9180,8439,9133,9688,7000,9891
97,10110,5040,809,694,4088,2214,3767,11955,427,6857
98,9781,10167,3816,9385,1644,7203,531,2838,12111,11023
